slug,nome,city_name,indirizzo,lat,lng,website,email,phone,id
"meridian-hotel-acquappesa","Meridian Hotel","Acquappesa","Via Amerigo Vespucci, 1, 87020 Guardia Piemontese CS","39.46376","15.979766","https://www.hotelscheck-in.com/meridianhotelitaly/it/","","0982 90725","4f6f658b-9184-4db5-bb01-033b33180d65"
"b-b-bellaria-rooms-acquaro","B&B Bellaria Rooms","Acquaro","Via Roma, 2/4, 89900 Longobardi VV","38.704738","16.127864","","","389 473 7281","376f999f-b5fd-41d3-8d7b-3ee6588b6553"
"b-b-civico-6-acquaro","B&B Civico 6","Acquaro","Via S. Nicola, 89054 Galatro RC","38.461827","16.108984","","","348 039 1105","d25c93c4-5ee7-4e38-867c-3b61570479df"
"b-b-le-casette-acquaro","B&B Le Casette","Acquaro","Piazza Umberto I, 47, 89843 Sant'Onofrio VV","38.695403","16.144063","","","320 629 3484","eaf4fd8c-9d6f-4cf4-a2d1-7701ed42e0b9"
"b-b-via-del-sole-acquaro","B&B Via del Sole","Acquaro","Strada Statale 18, 324, 89851 Vena VV","38.649576","16.055698","","","351 834 1163","838af5f1-36ed-4161-8d50-b5b36a82efa2"
"b-b-villa-maracuja-acquaro","B&B Villa Maracujà","Acquaro","Via nazionale ss18 Strada, Comunale Contura Campana, 89851 Ionadi VV","38.63749","16.059729","http://www.villamaracuja.it/","","351 703 6921","107e6ce0-9c57-4559-9ce3-e4f95488f4df"
"b-b-villa-mery-acquaro","B&B Villa Mery","Acquaro","Località Gianmondo, 89852 Mileto VV","38.601606","16.069446","https://www.bbvillamery.it/","","348 882 6853","8a38ef68-78ac-42a1-ab95-042cd72048c7"
"bed-and-breakfast-home-pacifico-acquaro","Bed and Breakfast ""Home Pacifico""","Acquaro","Contrada Cocari, snc, 89843 Sant'Onofrio VV","38.693244","16.131051","https://homepacificobb.webnode.it/","","351 712 7762","53f08d82-9346-4380-870f-3ba9913dd067"
"bed-and-breakfast-amarcord-acquaro","Bed and Breakfast Amarcord","Acquaro","Via Arno, 89023 Laureana di Borrello RC","38.495033","16.083667","http://bed-and-breakfast-amarcord.org.es/","","333 344 3205","699a0969-1fe3-4808-9687-9c9af657fd7d"
"bnb-nonna-cristina-acquaro","BnB Nonna Cristina","Acquaro","Via Cassiodoro, 12, 89824 Vecchio Abitato VV","38.44518","16.347981","","","","384fb3c4-9aca-47e5-bd83-12456688b14a"
"donna-melina-b-b-acquaro","Donna Melina B&B","Acquaro","Via Real Badia, 35, 89852 Mileto VV","38.607681","16.067278","https://donna-melina.bellaitaliatrips.top/","","338 857 6463","393c8d96-701e-44dc-8e63-6a9c3b8e7388"
"hotel-conte-ruggero-acquaro","Hotel Conte Ruggero","Acquaro","Via Tenente Bruno Pisani, 1, 89822 Serra San Bruno VV","38.578904","16.331742","http://www.hotelbandbconteruggero.com/","","0963 72059","41f48b1c-34ea-4f6f-8238-bbb6b1ee5d46"
"hotel-ristorante-degli-amici-acquaro","Hotel Ristorante degli Amici","Acquaro","Via Armando Diaz, 32, 89823 Mongiana VV","38.513796","16.320274","https://www.hotelristorantedegliamici.com/","","0963 311062","b668662c-be37-4dec-b720-a1700e7c68b9"
"il-vicoletto-acquaro","IL Vicoletto","Acquaro","Corso Umberto I, 37, 89822 Serra San Bruno VV","38.579941","16.332484","http://www.ilvicolettoserrasanbruno.it/","","320 473 5359","fc72a16b-ff57-40fb-b010-0b6669fb77bc"
"masseria-caporelli-b-b-azienda-agricola-acquaro","MASSERIA CAPORELLI B&B azienda agricola","Acquaro","Via I Maggio, 44, 89851 San Costantino Calabro VV","38.635512","16.082707","http://www.masseriacaporelli.it/","","0963 331241","478c38ea-bbe8-421b-b3d9-adb2baf5bdd7"
"passo-del-falco-s-r-l-acquaro","Passo Del Falco S.R.L.","Acquaro","Via Nazionale, 33, 89831 Fago-Savini VV","38.591049","16.266504","http://bedandbreakfastpassodelfalco.it/dove_siamo.html","","0963 195 2599","b724765c-55ed-48c8-91dc-29da85e0aa75"
"sonia-e-alessia-acquaro","Sonia e Alessia","Acquaro","Via Ospedale, 130, 89852 Mileto VV","38.607682","16.0658","https://francescastraveltips.com/sonia-e-alessia-italy","","349 446 5138","6e64884b-d849-46c7-b00a-9474f001eebf"
"tenuta-del-barone-acquaro","Tenuta del Barone","Acquaro","Str. Marzano, 89832 Dasà VV","38.566414","16.191367","https://www.tenutadelbaronemarzano.it/","","351 396 7150","67d6f49f-c324-433d-9c87-22a8a54b6bd0"
"agriturismo-il-roccolo-acquasanta-terme","Agriturismo Il Roccolo","Acquasanta Terme","Frazione Pomaro, 15/A, 63095 Acquasanta Terme AP","42.764014","13.412106","http://www.ilroccolo.com/","","351 728 5889","eb68f8d5-68df-4e79-bfc7-95ef5d530ee3"
"agriturismo-la-cittadella-dei-sibillini-acquasanta-terme","Agriturismo La Cittadella dei Sibillini","Acquasanta Terme","Loc. Cittadella, 63048 Montemonaco AP","42.88674","13.339496","http://www.cittadelladeisibillini.it/","","333 255 3824","e4d3cf04-7451-4b13-b6cb-56755d184f48"
"b-b-antico-borgo-piceno-acquasanta-terme","B&B Antico Borgo Piceno","Acquasanta Terme","Via S. Serafino da Montegranaro, 73, 63100 Ascoli Piceno AP","42.858788","13.570909","https://www.anticoborgopiceno.it/","","339 702 1069","fb1989eb-424b-4d27-8e85-b503e3d2868f"
"b-b-il-giardino-segreto-acquasanta-terme","B&B Il Giardino Segreto","Acquasanta Terme","Via Pretoriana, 55, 63100 Ascoli Piceno AP","42.852134","13.575073","http://www.ilgiardinosegreto.eu/","","339 485 3851","4f9341cb-7d3f-4723-b372-e65b0ec2b915"
"b-b-la-piazzetta-acquasanta-terme","B&B La Piazzetta","Acquasanta Terme","Via Roma, 2Z, 63095 Acquasanta Terme AP","42.768814","13.409272","http://lapiazzettabb.weebly.com/","","","b077c7a6-cad1-49ef-b8e5-81f292c0a9b9"
"b-b-mosca-bianca-acquasanta-terme","B&B Mosca Bianca","Acquasanta Terme","Località Castel Trosino, 9, 63100 Ascoli Piceno AP","42.820937","13.553371","http://www.bebmoscabianca.it/","","331 252 8568","e93bbe04-0344-45a9-a0f1-5ee3e61257a4"
"di-sabatino-resort-acquasanta-terme","Di Sabatino Resort","Acquasanta Terme","Corso Trento e Trieste, 25, 63100 Ascoli Piceno AP","42.855654","13.576096","https://www.disabatino.it/","","0736 247083","7963af2f-61ae-4b1d-b014-54d37d0fe030"
"dimora-storica-castel-di-luco-acquasanta-terme","Dimora storica Castel di Luco","Acquasanta Terme","63095 Luco AP","42.779478","13.427589","https://www.casteldiluco.it/","","338 213 2286","6869a1da-fae7-4ddc-9271-a9523785867d"
"fattoria-la-cona-acquasanta-terme","Fattoria La Cona","Acquasanta Terme","Frazione Monte di Rosara, 44 Località Coperso, 63100 Ascoli Piceno AP","42.819856","13.528896","http://www.fattorialacona.it/","","331 762 0864","95472477-c40a-463a-8197-37ba559c902f"
"hotel-ristorante-tre-lanterne-spa-acquasanta-terme","Hotel - Ristorante Tre Lanterne & SPA","Acquasanta Terme","Frazione Cagnano, SNC, 63095 Acquasanta Terme AP","42.769756","13.414784","https://tre-lanterne.italiabella.top/","","0736 888550","cbf8a6e4-07b3-4d12-984e-92a2d77f286b"
"hotel-b-b-cantina-dell-arte-ascoli-piceno-acquasanta-terme","Hotel B&B Cantina dell'Arte Ascoli Piceno","Acquasanta Terme","Rua Lupa, 8, 63100 Ascoli Piceno AP","42.856299","13.577831","https://www.hotelcantinadellarte.it/","","0736 255620","7d33c694-ce8b-4a80-b565-2f3d5cf615bc"
"hotel-palazzo-guiderocchi-acquasanta-terme","Hotel Palazzo Guiderocchi","Acquasanta Terme","Via Cesare Battisti, 3, 63100 Ascoli Piceno AP","42.854498","13.573942","http://www.hotelguiderocchi.it/","","0736 254753","db804c12-a15b-4b96-89c6-454cac726b7d"
