Nome struttura	Email	URL HotelsDrop	Cellulare
B&B Le Colombine	info@beblecolombine.it	https://www.hotelsdrop.com/hotel/b-b-le-colombine-abbadia-lariana	+39 333 907 1899
B&B Lecco Contrada Lunga	info@bbcontradalunga.it	https://www.hotelsdrop.com/hotel/b-b-lecco-contrada-lunga-abbadia-lariana	+39 335 644 3223
Casa la Rosa Abbadia Lariana	casalarosaabbadialariana@gmail.com	https://www.hotelsdrop.com/hotel/casa-la-rosa-abbadia-lariana-abbadia-lariana	+39 340 863 8420
Villa Onedo - Lake Como	info@villaonedo.com	https://www.hotelsdrop.com/hotel/villa-onedo-lake-como-abbadia-lariana	+39 333 949 6937
B&B Gli Archi	info@bbgliarchi.it	https://www.hotelsdrop.com/hotel/b-b-gli-archi-abbadia-san-salvatore	+39 371 448 0935
B&B Il Biancospino	info@bbilbiancospino.com	https://www.hotelsdrop.com/hotel/b-b-il-biancospino-abbadia-san-salvatore	+39 334 344 5885
B&B Le Scalette | B&B San Marco	sanmarcoscalette@gmail.com	https://www.hotelsdrop.com/hotel/b-b-le-scalette-b-b-san-marco-abbadia-san-salvatore	+39 371 359 3707
Hotel Adriana Snc	hoteladriana@alice.it	https://www.hotelsdrop.com/hotel/hotel-adriana-snc-abbadia-san-salvatore	+39 338 592 0038
Agriturismo S'ispiga	mail@agriturismosispiga.com	https://www.hotelsdrop.com/hotel/agriturismo-s-ispiga-abbasanta	+39 347 302 2768
Agriturismo su Nuratolu	pinofodde@gmail.com	https://www.hotelsdrop.com/hotel/agriturismo-su-nuratolu-abbasanta	+39 338 248 4633
Agriturismo Villa Gaia Cabras	agriturvillagaia@tiscali.it	https://www.hotelsdrop.com/hotel/agriturismo-villa-gaia-cabras-abbasanta	+39 340 317 0324
B&B Bitulera	bitulera@gmail.com	https://www.hotelsdrop.com/hotel/b-b-bitulera-abbasanta	+39 349 395 0656
La Corte degli Ulivi | Albergo Rurale	info@lacortedegliulivi.it	https://www.hotelsdrop.com/hotel/la-corte-degli-ulivi-albergo-rurale-abbasanta	+39 393 872 4450
La Tinaia Country House Bed & Board	info@latinaia.eu	https://www.hotelsdrop.com/hotel/la-tinaia-country-house-bed-board-abbasanta	+39 348 381 2405
Pessighette Dimora di Campagna Bosa	info@pessighette.it	https://www.hotelsdrop.com/hotel/pessighette-dimora-di-campagna-bosa-abbasanta	+39 347 648 0478
Regia Hotel	info@regiahotel.com	https://www.hotelsdrop.com/hotel/regia-hotel-abbasanta	+39 377 099 4955
Casa dell’Orso	contact.casaorso@gmail.com	https://www.hotelsdrop.com/hotel/casa-dell-orso-abbateggio	+39 348 175 5863
Country House Antiche Dimore	countryhouse@antichedimore.net	https://www.hotelsdrop.com/hotel/country-house-antiche-dimore-abbateggio	+39 333 889 9567
Dimore Montane • glamping • b&b • ristorante	info@dimoremontane.com	https://www.hotelsdrop.com/hotel/dimore-montane-glamping-b-b-ristorante-abbateggio	+39 320 922 1069
