outreach_priority,city_name,nome,phone,website,indirizzo,google_maps_url,hotelsdrop_url,slug,seo_indexable
high,Abano Terme,Hotel Terme Formentin,049 866 9511,https://www.formentin.it/,"Via P. d'Abano, 15, 35031 Abano Terme (PD)",https://maps.google.com/?cid=14772929597277342752&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/hotel-terme-formentin-abano-terme,hotel-terme-formentin-abano-terme,true
high,Abano Terme,Termeterna Longevity Spring Resort,049 866 8044,https://termeterna.com/en?utm_source=googlemaps&utm_medium=mybusiness&utm_campaign=mybusiness,"Via G. Barbieri, 13, 35031 Abano Terme (PD)",https://maps.google.com/?cid=16676898468338638603&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/termeterna-longevity-spring-resort-abano-terme,termeterna-longevity-spring-resort-abano-terme,true
high,Abbadia Cerreto,Europa University Rooms Hotel,0371 35215,https://m.facebook.com/europauniversityrooms/,"Viale Pavia, 5, 26900 Lodi LO",https://maps.google.com/?cid=6368335263790216722&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/europa-university-rooms-hotel-abbadia-cerreto,europa-university-rooms-hotel-abbadia-cerreto,true
high,Abbadia Lariana,Casa della nonna,+39 0341 73601,http://www.labella-lombardia.it/casa-della-nonna/,"Via Val Zerbo, 27, 23821 Abbadia Lariana (LC)",https://maps.google.com/?cid=6369496048861623111&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/casa-della-nonna-abbadia-lariana,casa-della-nonna-abbadia-lariana,true
high,Abbadia Lariana,Casa Lu',338 995 5027,https://abnb.me/zAW4pTB6ufb,"Via all'Asilo, 13, 23821 Abbadia Lariana (LC)",https://maps.google.com/?cid=6394175447240920999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/casa-lu-abbadia-lariana,casa-lu-abbadia-lariana,true
high,Abbadia Lariana,JungleHouse Abbadia Lariana,366 101 0077,https://www.airbnb.it/h/junglehouse-abbadialariana,"Via all'Asilo, 23, 23821 Abbadia Lariana (LC)",https://maps.google.com/?cid=18445690637532726179&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/junglehouse-abbadia-lariana-abbadia-lariana,junglehouse-abbadia-lariana-abbadia-lariana,true
high,Abbadia Lariana,VILLINO BICE bed and breakfast,338 169 3672,http://www.villinobice.it/,"Via Nazionale, 150G, 23821 Abbadia Lariana (LC)",https://maps.google.com/?cid=1602309161077336592&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/villino-bice-bed-and-breakfast-abbadia-lariana,villino-bice-bed-and-breakfast-abbadia-lariana,true
high,Abbadia San Salvatore,Albergo La Bussola,0577 778037,https://albergobussola.weebly.com/,"Via Adua, 11/13, 53021 Abbadia San Salvatore (SI)",https://maps.google.com/?cid=3770095662571439293&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/albergo-la-bussola-abbadia-san-salvatore,albergo-la-bussola-abbadia-san-salvatore,true
high,Abbadia San Salvatore,B&B La Castellina,375 894 4622,http://bblacastellina.it/,"Via Giuseppe Mazzini, 13, 53021 Abbadia San Salvatore (SI)",https://maps.google.com/?cid=634494406621422134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-la-castellina-abbadia-san-salvatore,b-b-la-castellina-abbadia-san-salvatore,true
high,Abbadia San Salvatore,Smart Room Abbadia San Salvatore,0577 164 5805,https://www.facebook.com/profile.php?id=100092582393280&mibextid=ZbWKwL,"Piazza della Repubblica, 22, 53021 Abbadia San Salvatore (SI)",https://maps.google.com/?cid=10506346072065242089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/smart-room-abbadia-san-salvatore-abbadia-san-salvatore,smart-room-abbadia-san-salvatore-abbadia-san-salvatore,true
high,Abbasanta,Azienda Agrituristica l'Orto,0783 53620,http://www.lorto.it/,"SP 9, 09070 San Vero Milis OR",https://maps.google.com/?cid=13198320544888946887&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/azienda-agrituristica-l-orto-abbasanta,azienda-agrituristica-l-orto-abbasanta,true
high,Abbasanta,B&B Affittacamere Perdalonga,0785 52207,https://elifrecommends.eu/perdalonga-italy,"Via Marco Polo, 8E, 09071 Abbasanta OR",https://maps.google.com/?cid=824660970229845813&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-affittacamere-perdalonga-abbasanta,b-b-affittacamere-perdalonga-abbasanta,true
high,Abbasanta,Country Hotel Mandra Edera,320 151 5170,https://country-hotel-mandra-edera.bellaitaliatrips.top/,"Località Mandra Edera, 09071 Abbasanta OR",https://maps.google.com/?cid=7108617986163744058&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/country-hotel-mandra-edera-abbasanta,country-hotel-mandra-edera-abbasanta,true
high,Abbasanta,ROSA DEI VENTI ROOMS,347 862 3292,http://perdalongaroomlarosadeiventi.it/,"Via Giacomo Matteotti, 20, 09071 Abbasanta OR",https://maps.google.com/?cid=14008667513617563433&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/rosa-dei-venti-rooms-abbasanta,rosa-dei-venti-rooms-abbasanta,true
