email,first_name,profile_url,phone
info@beblecolombine.it,B&B Le Colombine,https://www.hotelsdrop.com/hotel/b-b-le-colombine-abbadia-lariana,+39 333 907 1899
info@bbcontradalunga.it,B&B Lecco Contrada Lunga,https://www.hotelsdrop.com/hotel/b-b-lecco-contrada-lunga-abbadia-lariana,+39 335 644 3223
casalarosaabbadialariana@gmail.com,Casa la Rosa Abbadia Lariana,https://www.hotelsdrop.com/hotel/casa-la-rosa-abbadia-lariana-abbadia-lariana,+39 340 863 8420
info@villaonedo.com,Villa Onedo - Lake Como,https://www.hotelsdrop.com/hotel/villa-onedo-lake-como-abbadia-lariana,+39 333 949 6937
info@bbgliarchi.it,B&B Gli Archi,https://www.hotelsdrop.com/hotel/b-b-gli-archi-abbadia-san-salvatore,+39 371 448 0935
info@bbilbiancospino.com,B&B Il Biancospino,https://www.hotelsdrop.com/hotel/b-b-il-biancospino-abbadia-san-salvatore,+39 334 344 5885
sanmarcoscalette@gmail.com,B&B Le Scalette | B&B San Marco,https://www.hotelsdrop.com/hotel/b-b-le-scalette-b-b-san-marco-abbadia-san-salvatore,+39 371 359 3707
hoteladriana@alice.it,Hotel Adriana Snc,https://www.hotelsdrop.com/hotel/hotel-adriana-snc-abbadia-san-salvatore,+39 338 592 0038
mail@agriturismosispiga.com,Agriturismo S'ispiga,https://www.hotelsdrop.com/hotel/agriturismo-s-ispiga-abbasanta,+39 347 302 2768
pinofodde@gmail.com,Agriturismo su Nuratolu,https://www.hotelsdrop.com/hotel/agriturismo-su-nuratolu-abbasanta,+39 338 248 4633
agriturvillagaia@tiscali.it,Agriturismo Villa Gaia Cabras,https://www.hotelsdrop.com/hotel/agriturismo-villa-gaia-cabras-abbasanta,+39 340 317 0324
bitulera@gmail.com,B&B Bitulera,https://www.hotelsdrop.com/hotel/b-b-bitulera-abbasanta,+39 349 395 0656
info@lacortedegliulivi.it,La Corte degli Ulivi | Albergo Rurale,https://www.hotelsdrop.com/hotel/la-corte-degli-ulivi-albergo-rurale-abbasanta,+39 393 872 4450
info@latinaia.eu,La Tinaia Country House Bed & Board,https://www.hotelsdrop.com/hotel/la-tinaia-country-house-bed-board-abbasanta,+39 348 381 2405
info@pessighette.it,Pessighette Dimora di Campagna Bosa,https://www.hotelsdrop.com/hotel/pessighette-dimora-di-campagna-bosa-abbasanta,+39 347 648 0478
info@regiahotel.com,Regia Hotel,https://www.hotelsdrop.com/hotel/regia-hotel-abbasanta,+39 377 099 4955
contact.casaorso@gmail.com,Casa dell’Orso,https://www.hotelsdrop.com/hotel/casa-dell-orso-abbateggio,+39 348 175 5863
countryhouse@antichedimore.net,Country House Antiche Dimore,https://www.hotelsdrop.com/hotel/country-house-antiche-dimore-abbateggio,+39 333 889 9567
info@dimoremontane.com,Dimore Montane • glamping • b&b • ristorante,https://www.hotelsdrop.com/hotel/dimore-montane-glamping-b-b-ristorante-abbateggio,+39 320 922 1069
lacasadallefinestreblu@gmail.com,La casa dalle finestre blu B&B,https://www.hotelsdrop.com/hotel/la-casa-dalle-finestre-blu-b-b-abbateggio,+39 348 773 5746
bblaquercia91@gmail.com,La Quercia B&B,https://www.hotelsdrop.com/hotel/la-quercia-b-b-abbateggio,+39 366 724 4879
info@lecameredellacervia.it,Affittacamere Le Camere della Cervia,https://www.hotelsdrop.com/hotel/affittacamere-le-camere-della-cervia-abbiategrasso,+39 331 188 2645
