email,first_name,profile_url
info@beblecolombine.it,B&B Le Colombine,https://www.hotelsdrop.com/hotel/b-b-le-colombine-abbadia-lariana
info@bbcontradalunga.it,B&B Lecco Contrada Lunga,https://www.hotelsdrop.com/hotel/b-b-lecco-contrada-lunga-abbadia-lariana
casalarosaabbadialariana@gmail.com,Casa la Rosa Abbadia Lariana,https://www.hotelsdrop.com/hotel/casa-la-rosa-abbadia-lariana-abbadia-lariana
info@villaonedo.com,Villa Onedo - Lake Como,https://www.hotelsdrop.com/hotel/villa-onedo-lake-como-abbadia-lariana
info@bbgliarchi.it,B&B Gli Archi,https://www.hotelsdrop.com/hotel/b-b-gli-archi-abbadia-san-salvatore
info@bbilbiancospino.com,B&B Il Biancospino,https://www.hotelsdrop.com/hotel/b-b-il-biancospino-abbadia-san-salvatore
sanmarcoscalette@gmail.com,B&B Le Scalette | B&B San Marco,https://www.hotelsdrop.com/hotel/b-b-le-scalette-b-b-san-marco-abbadia-san-salvatore
hoteladriana@alice.it,Hotel Adriana Snc,https://www.hotelsdrop.com/hotel/hotel-adriana-snc-abbadia-san-salvatore
mail@agriturismosispiga.com,Agriturismo S'ispiga,https://www.hotelsdrop.com/hotel/agriturismo-s-ispiga-abbasanta
pinofodde@gmail.com,Agriturismo su Nuratolu,https://www.hotelsdrop.com/hotel/agriturismo-su-nuratolu-abbasanta
agriturvillagaia@tiscali.it,Agriturismo Villa Gaia Cabras,https://www.hotelsdrop.com/hotel/agriturismo-villa-gaia-cabras-abbasanta
bitulera@gmail.com,B&B Bitulera,https://www.hotelsdrop.com/hotel/b-b-bitulera-abbasanta
info@lacortedegliulivi.it,La Corte degli Ulivi | Albergo Rurale,https://www.hotelsdrop.com/hotel/la-corte-degli-ulivi-albergo-rurale-abbasanta
info@latinaia.eu,La Tinaia Country House Bed & Board,https://www.hotelsdrop.com/hotel/la-tinaia-country-house-bed-board-abbasanta
info@pessighette.it,Pessighette Dimora di Campagna Bosa,https://www.hotelsdrop.com/hotel/pessighette-dimora-di-campagna-bosa-abbasanta
info@regiahotel.com,Regia Hotel,https://www.hotelsdrop.com/hotel/regia-hotel-abbasanta
contact.casaorso@gmail.com,Casa dell’Orso,https://www.hotelsdrop.com/hotel/casa-dell-orso-abbateggio
countryhouse@antichedimore.net,Country House Antiche Dimore,https://www.hotelsdrop.com/hotel/country-house-antiche-dimore-abbateggio
info@dimoremontane.com,Dimore Montane • glamping • b&b • ristorante,https://www.hotelsdrop.com/hotel/dimore-montane-glamping-b-b-ristorante-abbateggio
lacasadallefinestreblu@gmail.com,La casa dalle finestre blu B&B,https://www.hotelsdrop.com/hotel/la-casa-dalle-finestre-blu-b-b-abbateggio
bblaquercia91@gmail.com,La Quercia B&B,https://www.hotelsdrop.com/hotel/la-quercia-b-b-abbateggio
info@lecameredellacervia.it,Affittacamere Le Camere della Cervia,https://www.hotelsdrop.com/hotel/affittacamere-le-camere-della-cervia-abbiategrasso
info@agriturismocascinapalazzo.it,Agriturismo Cascina Palazzo,https://www.hotelsdrop.com/hotel/agriturismo-cascina-palazzo-abbiategrasso
daniperini@libero.it,B&B Il Giardino,https://www.hotelsdrop.com/hotel/b-b-il-giardino-abbiategrasso
info@locandalugagnano.com,B&B Locanda Lugagnano,https://www.hotelsdrop.com/hotel/b-b-locanda-lugagnano-abbiategrasso
info@cascinasandonato.it,Cascina San Donato - Azienda agricola - Vendita diretta frutta e verdura - Fattoria Didattica,https://www.hotelsdrop.com/hotel/cascina-san-donato-azienda-agricola-vendita-dire-abbiategrasso
infodelightrooms@gmail.com,Delight Rooms,https://www.hotelsdrop.com/hotel/delight-rooms-abbiategrasso
info@lacardinala.it,La Cardinala,https://www.hotelsdrop.com/hotel/la-cardinala-abbiategrasso
info@mahthildis.net,Mahthildis Agriturismo B&B,https://www.hotelsdrop.com/hotel/mahthildis-agriturismo-b-b-abbiategrasso
info@bbdahu.it,B&B Dahu,https://www.hotelsdrop.com/hotel/b-b-dahu-abetone-cutigliano
bb85centro@gmail.com,B&B 85centro,https://www.hotelsdrop.com/hotel/b-b-85centro-abriola
info@sottoilcielo.it,La Fattoria Sotto il Cielo,https://www.hotelsdrop.com/hotel/la-fattoria-sotto-il-cielo-abriola
info@ostellovillafranca.com,Ostello Villafranca,https://www.hotelsdrop.com/hotel/ostello-villafranca-abriola
info@bagliocchipinti.com,Baglio Occhipinti,https://www.hotelsdrop.com/hotel/baglio-occhipinti-acate
info@dimoradidante.com,Dimora di Dante,https://www.hotelsdrop.com/hotel/dimora-di-dante-acate
ignazio55nicosia@gmail.com,Terra del sole b&b a Vittoria,https://www.hotelsdrop.com/hotel/terra-del-sole-b-b-a-vittoria-acate
